filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170932_cube.fits,107.49968,78.75,78.75,68707230.97125435,-18702461.79446888,43704846.382861614,25002384.58839273,8288.982505184478,8288.982505184478,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170934_cube.fits,119.99985,0.0,90.0,70006115.8807745,-28787050.725424767,49396583.30309963,20609532.577674866,8366.965751141479,8366.965751141479,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170938_cube.fits,119.99985,45.0,45.0,66910391.52011442,12653906.669933796,27128242.425090317,39782149.09502411,8179.877231359553,8179.877231359553,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170935_cube.fits,119.99985,11.25,11.25,70200489.90455723,-43365235.87401676,56782862.889287,13417627.015270231,8378.573261872049,8378.573261872049,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170939_cube.fits,119.99985,56.25,56.25,66492951.44846034,24192213.141774416,21150369.15334296,45342582.29511738,8154.32102927401,8154.32102927401,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170936_cube.fits,119.99985,22.5,16.124,69372578.22163463,-36045362.04366231,52708970.13264847,16663608.088986158,8329.020243800265,8329.020243800265,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170940_cube.fits,119.99985,67.5,56.25,67225857.64240551,15611050.893795967,25807403.37430477,41418454.26810074,8199.137615774327,8199.137615774327,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170937_cube.fits,119.99985,33.75,22.5,68053502.4432149,-12406098.725597858,40229800.584406376,27823701.85880852,8249.454675505218,8249.454675505218,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170941_cube.fits,119.99985,78.75,67.5,68775276.84234238,-7263862.056148529,38019569.44924545,30755707.393096924,8293.086086755784,8293.086086755784,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170943_cube.fits,132.49974,0.0,0.0,69981774.40874434,-17455060.621513844,43718417.51512909,26263356.89361525,8365.511007030254,8365.511007030254,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170947_cube.fits,132.49974,45.0,33.75,67705963.96458817,170446.5945596695,33767758.68501425,33938205.27957392,8228.363383115027,8228.363383115027,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170944_cube.fits,132.49974,11.25,11.25,69999648.93205309,-22595795.231307507,46297722.0816803,23701926.85037279,8366.57928499175,8366.57928499175,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170948_cube.fits,132.49974,56.25,45.0,67665203.08553457,1678264.8476691246,32993469.118932724,34671733.96660185,8225.886158070422,8225.886158070422,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170945_cube.fits,132.49974,22.5,22.5,69147166.40968418,-18122434.94785595,43634800.67877007,25512365.73091412,8315.47752144663,8315.47752144663,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170949_cube.fits,132.49974,67.5,67.5,68204488.24205732,-4286265.4311852455,36245376.83662128,31959111.40543604,8258.600864677825,8258.600864677825,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170946_cube.fits,132.49974,33.75,22.5,68244873.25429201,-8211892.30649519,38228382.7803936,30016490.47389841,8261.04553033646,8261.04553033646,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170950_cube.fits,132.49974,78.75,77.592,69274110.82625484,-13367945.127998352,41321027.9771266,27953082.849128246,8323.107041619423,8323.107041619423,1685.9701
