,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
735,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:52.106770.cam1.A_collapsed_diff.fits,82.5,675-50,IPOL,22.5,A,0.105,0.0471744,1763,146.78304,7297,268.7042
538,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:32.764801.cam1.A_collapsed_diff.fits,82.5,725-50,IPOL,22.5,A,0.105,0.0471744,6778,374.56528,13825,483.75632
1032,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:52.514184.cam1.A_collapsed_diff.fits,82.5,750-50,IPOL,22.5,A,0.105,0.0471744,8937,428.86557,14991.5,529.6482
196,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:25.632325.cam1.A_collapsed_diff.fits,82.5,775-50,IPOL,22.5,A,0.105,0.0471744,5287,265.44617,8425,325.4779
682,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:02.832681.cam1.A_collapsed_diff.fits,82.5,Open,IPOL_MBI,22.5,A,0.105,0.0962496,[11280.5  8984.   3880.5  1436. ],[461.01170303 454.02904622 271.64375364 127.72063374],[22175.  28448.  13327.5  3601. ],[767.03235191 658.6717347  333.46303756 112.96717454]
736,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:02.149403.cam1.B_collapsed_diff.fits,82.5,Open,IPOL,22.5,B,0.105,0.0471744,-20399,1030.993,34119,1178.0793
1017,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:31.075602.cam1.B_collapsed_diff.fits,82.5,625-50,IPOL,22.5,B,0.105,0.0471744,41,66.35143,1747,79.37419
311,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:52.106770.cam1.B_collapsed_diff.fits,82.5,675-50,IPOL,22.5,B,0.105,0.0471744,-3266,241.10602,7590,255.29099
745,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:32.764801.cam1.B_collapsed_diff.fits,82.5,725-50,IPOL,22.5,B,0.105,0.0471744,-10125,482.8778,14428,491.95023
404,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:52.514184.cam1.B_collapsed_diff.fits,82.5,750-50,IPOL,22.5,B,0.105,0.0471744,-11103,507.3486,15491,531.0085
334,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:25.632325.cam1.B_collapsed_diff.fits,82.5,775-50,IPOL,22.5,B,0.105,0.0471744,-6343,295.16727,8595,338.0988
248,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:02.832681.cam1.B_collapsed_diff.fits,82.5,Open,IPOL_MBI,22.5,B,0.105,0.0962496,[-13264.  -16566.   -8014.5  -2617. ],[ 665.58723901 1085.67410475  493.39414177  153.15579685],[21412.  29038.  13505.5  3793. ],[788.98818001 786.95451437 370.54021768 132.90263036]
283,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:25.126433.cam1.A_collapsed_diff.fits,95,Open,IPOL,22.5,A,0.105,0.0471744,-11682,454.69473,32581,1077.8217
587,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:55.091026.cam1.A_collapsed_diff.fits,95,625-50,IPOL,22.5,A,0.105,0.0471744,-1175,69.35348,1797.5,80.42575
130,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:27.699159.cam1.A_collapsed_diff.fits,95,675-50,IPOL,22.5,A,0.105,0.0471744,-1385,125.431564,7425,266.30228
1074,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:55.646991.cam1.A_collapsed_diff.fits,95,725-50,IPOL,22.5,A,0.105,0.0471744,-2647,237.87193,14113,481.4957
804,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:28.582766.cam1.A_collapsed_diff.fits,95,750-50,IPOL,22.5,A,0.105,0.0471744,-543,268.77188,14562,501.9076
527,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:48.408422.cam1.A_collapsed_diff.fits,95,775-50,IPOL,22.5,A,0.105,0.0471744,796,209.60373,7194,290.33997
573,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:30.695868.cam1.A_collapsed_diff.fits,95,Open,IPOL_MBI,22.5,A,0.105,0.0962496,[ -4602.  -13928.   -4793.5    299.5],[233.39294726 514.08769352 200.75618254 114.76206662],[18669.  29321.5 13695.5  3902.5],[672.17505427 761.24370049 353.74468507  95.13216211]
691,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:25.126433.cam1.B_collapsed_diff.fits,95,Open,IPOL,22.5,B,0.105,0.0471744,4212,408.8768,32293,1074.4612
281,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:55.091026.cam1.B_collapsed_diff.fits,95,625-50,IPOL,22.5,B,0.105,0.0471744,714,71.08933,1739,77.57119
117,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:27.699159.cam1.B_collapsed_diff.fits,95,675-50,IPOL,22.5,B,0.105,0.0471744,324,195.55855,7377,267.87897
10,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:55.646991.cam1.B_collapsed_diff.fits,95,725-50,IPOL,22.5,B,0.105,0.0471744,-259,275.5415,14143,487.21765
778,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:28.582766.cam1.B_collapsed_diff.fits,95,750-50,IPOL,22.5,B,0.105,0.0471744,-617,250.62752,14666,515.1129
434,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:48.408422.cam1.B_collapsed_diff.fits,95,775-50,IPOL,22.5,B,0.105,0.0471744,-1235,241.13908,7225,297.35986
921,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:30.695868.cam1.B_collapsed_diff.fits,95,Open,IPOL_MBI,22.5,B,0.105,0.0962496,[ 3141.5  6282.    477.5 -1358. ],[301.88959882 804.99586077 400.21997323 142.84119616],[19245.  28442.5 13135.5  3711. ],[691.80630485 616.08991272 303.27295253 115.75916355]
729,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:47.883674.cam1.A_collapsed_diff.fits,107.5,Open,IPOL,22.5,A,0.105,0.0471744,-27825,857.98846,32406,1015.4051
267,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:28:17.620141.cam1.A_collapsed_diff.fits,107.5,625-50,IPOL,22.5,A,0.105,0.0471744,-1593,77.53484,1813,365.86813
982,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:31:05.704150.cam1.A_collapsed_diff.fits,107.5,675-50,IPOL,22.5,A,0.105,0.0471744,-5303,192.29463,7754,264.8591
